序号,简体,拼音,繁体,笔画,五行,姓氏
187,苞,bao,苞,11,木,否
188,胞,bao,胞,11,水,否
189,煲,bao,煲,13,火,否
190,龅,bao,齙,20,水,否
191,褒,bao,褒,15,水,否
192,雹,bao,雹,13,水,否
193,宝,bao,寳,20,火,是
194,饱,bao,飽,14,水,否
195,保,bao,保,9,水,是
196,鸨,bao,鴇,15,水,否
197,堡,bao、bu,堡,12,土,否
198,葆,bao,葆,15,木,是
199,褓,bao,緥,15,水,否
200,报,bao,報,12,水,是
201,抱,bao,抱,9,水,是
202,豹,bao,豹,10,水,是
203,趵,bao,趵,10,水,否
204,菢,bao,菢,14,木,否
205,鲍,bao,鮑,16,水,是
206,暴,bao,暴,15,水,是
207,虣,bao,虣,16,水,否
208,爆,bao,爆,19,火,否
209,陂,bei,陂,13,水,否
210,卑,bei,卑,8,水,是
211,杯,bei,桮,8,木,是
212,悲,bei,悲,12,水,是
213,碑,bei,碑,13,土,否
214,鹎,bei,鵯,19,水,否
215,北,bei,北,5,水,是
216,贝,bei,貝,7,水,是
217,狈,bei,狽,11,水,否
218,邶,bei,邶,12,水,是
219,备,bei,備,12,水,是
220,背,bei,背,9,水,是
221,钡,bei,鋇,15,金,否
222,倍,bei,倍,10,水,是
223,悖,bei,悖,14,水,是
224,被,bei,被,11,水,是
225,偝,bei,偝,11,水,否
226,惫,bei,憊,16,水,否
227,焙,bei,焙,12,火,否
228,琲,bei,琲,13,水,否
229,辈,bei,輩,15,水,是
230,碚,bei,碚,13,土,否
231,蓓,bei,蓓,16,木,否
232,褙,bei,褙,15,水,否
233,骳,bei,骳,15,水,否
234,糒,bei,糒,16,水,否
235,鞴,bei,鞴,18,水,否
236,鐾,bei,鐾,21,金,否
237,奔,ben,奔,15,水,是
238,贲,ben、bi,賁,12,水,是
239,倴,bei,倴,10,水,否
240,锛,ben,錛,16,金,否
241,本,ben,本,5,木,否
242,苯,ben,苯,11,木,否
243,畚,ben,畚,10,水,否
244,坌,ben,坌,7,土,否
245,笨,ben,笨,11,木,否
246,伻,beng,伻,7,水,否
247,祊,beng,祊,9,水,否
248,崩,beng,崩,11,土,否
249,绷,beng,綳,14,水,否
250,絣,beng,絣,12,水,否
251,嘣,beng,嘣,14,水,否
252,甭,beng,甭,9,水,否
253,菶,beng,菶,14,木,否
254,琫,beng,琫,12,水,否
255,泵,beng,泵,9,水,否
256,迸,beng,迸,13,水,否
257,甏,beng,甏,16,水,否
258,镚,beng,鏰,19,金,否
259,蹦,beng,蹦,18,土,否
260,皀,bi,皀,7,水,否
261,屄,bi,屄,8,水,否
262,偪,bi,偪,11,水,是
263,逼,bi,偪,11,水,否
264,鲾,bi,鰏,20,水,否
265,鎞,bi,鎞,18,金,否
266,柲,bi,柲,9,木,否
267,荸,bi,荸,13,木,否
268,鼻,bi,鼻,14,水,是
269,匕,bi,匕,2,金,否
270,比,bi,比,4,水,是
271,佊,bi,佊,7,水,否
272,吡,bi,吡,7,水,否
273,妣,bi,妣,7,水,否
274,沘,bi,沘,8,水,否
275,彼,bi,彼,8,水,否
276,秕,bi,粃,10,水,否
277,俾,bi,俾,10,水,是
278,笔,bi,筆,12,木,否
279,舭,bi,舭,10,水,否
280,鄙,bi,鄙,18,水,是
281,币,bi,幣,14,水,否
282,必,bi,必,5,水,是
283,毕,bi,畢,11,水,是
284,闭,bi,閉,11,水,否
285,庇,bi,庇,7,水,否
286,诐,bi,詖,12,水,否
287,邲,bi,邲,12,水,是
288,畀,bi,畀,8,水,否
289,苾,bi,苾,11,木,否
290,哔,bi,嗶,13,水,否
291,毖,bi,毖,9,水,否
292,珌,bi,珌,10,水,否
293,荜,bi,蓽,16,木,否
294,陛,bi,陛,15,水,否
295,毙,bi,斃,18,水,否
296,狴,bi,狴,11,水,否
297,铋,bi,鉍,13,金,否
298,婢,bi,婢,11,水,否
299,庳,bi,庳,11,水,是
300,敝,bi,敝,11,水,否
301,梐,bi,梐,11,木,否
302,萆,bi,萆,14,木,否
303,堛,bi,堛,12,土,否
304,弼,bi,弼,12,水,是
305,愊,bi,愊,13,水,否
306,愎,bi,愎,13,水,否
307,皕,bi,皕,12,水,否
308,筚,bi,篳,16,木,否
309,赑,bi,赑,12,水,否
310,滗,bi,滗,14,水,否
311,煏,bi,煏,13,火,否
312,痹,bi,痹,13,水,否
313,腷,bi,腷,15,水,否
314,蓖,bi,蓖,16,木,否
315,裨,bi,裨,14,水,是
316,跸,bi,蹕,17,水,否
317,辟,bi,辟,13,水,是
318,閟,bi,閟,13,水,否
319,弊,bi,弊,14,水,是
320,碧,bi,碧,14,水,否
321,箅,bi,箅,13,木,否
322,蔽,bi,蔽,17,木,否
323,馝,bi,馝,14,水,否
324,駜,bi,駜,15,水,否
325,髲,bi,髲,15,水,否
326,壁,bi,壁,16,土,是
327,嬖,bi,嬖,16,水,否
328,篦,bi,篦,16,木,否
329,薜,bi,薜,19,木,否
330,觱,bi,觱,16,水,否
331,避,bi,避,20,水,否
332,鮅,bi,鮅,16,水,否
333,濞,bi,濞,18,水,否
334,臂,bi,臂,17,水,否
335,鞞,bing,鞞,16,水,否
336,髀,bi,髀,18,水,否
337,奰,bi,奰,18,水,否
338,璧,bi,璧,18,土,否
339,饆,bi,饆,18,金,否
340,襞,bi,襞,19,水,否
341,襣,bi,襣,20,水,否
